oid,name,entity,access,risk_level,recommended_role,danger_signals,description
1.3.6.1.4.1.3902.1082.20.30.2.5.2.1.9,zxAnSwPatchConfActiveStatus,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The configured active status of the patch file.
1.3.6.1.4.1.3902.1082.20.30.2.5.5.1.6,zxAnSwPatchPkgConfActiveStatus,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The configured active status of the patch package.
1.3.6.1.4.1.3902.1082.20.30.2.4.1.1,zxAnSwSwapRack,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The Rack No.
1.3.6.1.4.1.3902.1082.20.30.2.4.1.3,zxAnSwSwapSlot,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The slot number is used for swap version.
1.3.6.1.4.1.3902.3.302.19.1.100,zxr10AlarmMaskRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),Row status.
1.3.6.1.4.1.3902.3.302.23.1.100,zxr10AlmShdProfApplyRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),Row status.
1.3.6.1.4.1.3902.3.302.22.1.100,zxr10AlmShdProfCodeRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),Row status.
1.3.6.1.4.1.3902.3.302.21.1.100,zxr10AlmShdProfRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),Row status.
1.3.6.1.4.1.3902.1082.500.21.2.1.2.1.50,zxAnGponOPTcontRowStatus,entity.zte.gpon.device.onu,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.4.2.2.9.1.50,zxAnPonOnuAlmPrfApplyRowStatus,entity.zte.gpon.device.onu,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.50,zxAnPonOnuIfAttrRowStatus,entity.zte.gpon.device.onu,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.4.2.2.3.1.100,zxAnPonOnuIfC15MPerfReset,entity.zte.gpon.device.onu,read-write,CRITICAL,superuser,destructive:reset,Clear all the current 15-minutes performance variables.
1.3.6.1.4.1.3902.1082.500.4.2.2.4.1.100,zxAnPonOnuIfC1DPerfReset,entity.zte.gpon.device.onu,read-write,CRITICAL,superuser,destructive:reset,Clear all the current 1 day performance variables.
1.3.6.1.4.1.3902.1082.500.4.2.2.10.1.100,zxAnPonOnuIfCMinPerfReset,entity.zte.gpon.device.onu,read-write,CRITICAL,superuser,destructive:reset,Clear all the current minutes interval performance variables.
1.3.6.1.4.1.3902.1082.500.4.2.2.2.1.100,zxAnPonOnuIfCurrPerfReset,entity.zte.gpon.device.onu,read-write,CRITICAL,superuser,destructive:reset,"Clear ONU current statistics,read invalid."
1.3.6.1.4.1.3902.1082.500.4.2.2.8.1.50,zxAnPonOnuPerfAlmConfRowStatus,entity.zte.gpon.device.onu,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.4.2.2.7.1.50,zxAnPonOnuPerfAlmPrfRowStatus,entity.zte.gpon.device.onu,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.1.2.2.2.1.50,zxAnPonOnuTypeRowStatus,entity.zte.gpon.device.onu,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.10.2.1.10.1.50,zxAnCardEnvAlmPrfApplyRowStatus,entity.zte.gpon.hardware.card,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.10.2.1.9.1.50,zxAnCardEnvAlmPrfConfRowStatus,entity.zte.gpon.hardware.card,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.10.2.1.11.1.50,zxAnCardEnvAlmPrfRowStatus,entity.zte.gpon.hardware.card,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.1.2.4.1.41,zxAnCardResetTimesClear,entity.zte.gpon.hardware.card,read-create,CRITICAL,superuser,destructive:reset,Clear the resetting times of the card.
1.3.6.1.4.1.3902.1082.10.1.2.4.1.50,zxAnCardRowStatus,entity.zte.gpon.hardware.card,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.1.1.7,zxAnChassisCardResetTimesClear,entity.zte.gpon.hardware.card,read-write,CRITICAL,superuser,destructive:reset,Clear the resetting times of all cards of the NE.
1.3.6.1.4.1.3902.1082.20.30.2.3.2.1.5,zxAnSwManualUpdateSubcardList,entity.zte.gpon.hardware.card,read-write,CRITICAL,superuser,platform:firmware/activation,The subcard number.
1.3.6.1.4.1.3902.1082.10.10.2.4.12.3,zxAnEnvFanTrayResetAction,entity.zte.gpon.hardware.fan,read-write,CRITICAL,superuser,destructive:reset,Reset the fan trays.
1.3.6.1.4.1.3902.1082.10.10.2.4.12.1,zxAnEnvFanTrayResetRack,entity.zte.gpon.hardware.fan,read-write,CRITICAL,superuser,destructive:reset,The rack number of the fan tray.
1.3.6.1.4.1.3902.1082.30.40.2.2.1.50,zxAnOpticalModuleAlmPrfRowStatus,entity.zte.gpon.hardware.optical_module,read-create,CRITICAL,superuser,RowStatus(destroy),The row status of this entry.
1.3.6.1.4.1.3902.1082.30.40.2.6.1.50,zxAnOpticalModuleConfRowStatus,entity.zte.gpon.hardware.optical_module,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.10.2.5.2.1.50,zxAnEnvDeviceRowStatus,entity.zte.gpon.hardware.sensor,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.10.2.4.12.2,zxAnEnvFanTrayResetShelfList,entity.zte.gpon.hardware.shelf,read-write,CRITICAL,superuser,destructive:reset,The shelf number list of the fan tray.
1.3.6.1.4.1.3902.1082.10.1.2.3.1.50,zxAnShelfRowStatus,entity.zte.gpon.hardware.shelf,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.20.30.2.3.2.1.2,zxAnSwManualUpdateShelf,entity.zte.gpon.hardware.shelf,read-write,CRITICAL,superuser,platform:firmware/activation,The shelf number.
1.3.6.1.4.1.3902.1082.20.30.2.4.1.2,zxAnSwSwapShelf,entity.zte.gpon.hardware.shelf,read-write,CRITICAL,superuser,platform:firmware/activation,The Shelf number is used for swap version.
1.3.6.1.4.1.3902.1082.500.21.2.1.9.1.50,zxAnGponOPGemPortCurrRowStatus,entity.zte.gpon.logical.gem_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.1.3.1.50,zxAnGponOPGemPortRowStatus,entity.zte.gpon.logical.gem_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.110.21.2.11.1.100,zxAnSrvPortC1DReset,entity.zte.gpon.logical.service_port,read-write,CRITICAL,superuser,destructive:reset,Clear all the current minutes performance variables.
1.3.6.1.4.1.3902.1082.110.21.2.10.1.100,zxAnSrvPortCMinReset,entity.zte.gpon.logical.service_port,read-write,CRITICAL,superuser,destructive:reset,Clear all the current minutes performance variables.
1.3.6.1.4.1.3902.1082.110.21.2.2.1.49,zxAnSrvPortCurrStatsReset,entity.zte.gpon.logical.service_port,read-create,CRITICAL,superuser,destructive:reset,Value 1 means to clear all the current performance value.
1.3.6.1.4.1.3902.1082.110.21.2.2.1.50,zxAnSrvPortCurrStatsRowStatus,entity.zte.gpon.logical.service_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.110.21.2.50.1.100,zxAnSrvPortPerfConfRowStatus,entity.zte.gpon.logical.service_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.110.5.2.2.1.50,zxAnSrvPortRowStatus,entity.zte.gpon.logical.service_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.6.3.1.50,zxAnVlanBasedFwdRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.13.2.1.50,zxAnVlanCopyCosToInnerRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.13.3.1.50,zxAnVlanCopyCosToOuterRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.3.5.1.50,zxAnVlanIfExtTransRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.12.3.1.50,zxAnVlanIfTpidFilterRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.11.2.1.50,zxAnVlanProtoFilterConfRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.1.2.1.50,zxAnVlanRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.9.2.1.50,zxAnVlanTpidConfRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.40.50.2.12.2.1.50,zxAnVlanTpidFilterConfRowStatus,entity.zte.gpon.logical.vlan,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.1.7.1.50,zxAnGponOPBpMapConfRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.1.6.1.50,zxAnGponOPBpRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.9.1.50,zxAnGponOPExtVlanConfRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.8.1.50,zxAnGponOPExtVlanRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.6.1.50,zxAnGponOPIgmpConfRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.15.1.50,zxAnGponOPIpRouteRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.5.1.50,zxAnGponOPMVlanRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.1.4.1.50,zxAnGponOPMappingRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.4.1.50,zxAnGponOPVlanTransRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.13.1.50,zxAnGponOPVoipIpConfRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.21.2.2.11.1.50,zxAnGponOPWanIpConfRowStatus,entity.zte.gpon.port.pon_port,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.3.302.17.1.3,alarmLevelChangeLevel,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),"Alarm level support 'emergency','alert','critical','error', 'warning','notification','information','debugging'.Alarm level not support 'all'."
1.3.6.1.4.1.3902.1082.30.20.2.2.4.1.5,zxAnAtmPvcIfAdminStatus,entity.zte.gpon.device.olt,read-create,HIGH,operator,service-affecting:adminstatus,Enable/disable PVC.
1.3.6.1.4.1.3902.1082.30.20.2.2.4.1.3,zxAnAtmPvcIfEncapsType,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),Encapsulation type of this ATM PVC.
1.3.6.1.4.1.3902.1082.30.20.2.2.4.1.2,zxAnAtmPvcIfVci,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),VCI.
1.3.6.1.4.1.3902.1082.30.20.2.2.4.1.1,zxAnAtmPvcIfVpi,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),VPI.
1.3.6.1.4.1.3902.1082.30.20.2.2.3.1.7,zxAnEtherIfConfFlowCtrlEnable,entity.zte.gpon.device.olt,read-write,HIGH,operator,service-affecting:enable,Enable/disable the ehternet flow control.
1.3.6.1.4.1.3902.1082.30.20.2.2.2.1.1,zxAnIfConfAdminStatus,entity.zte.gpon.device.olt,read-write,HIGH,operator,service-affecting:adminstatus,Enable/disable the interface.
1.3.6.1.4.1.3902.1082.30.40.2.5.1.1,zxAnOptAlsEnable,entity.zte.gpon.device.olt,read-write,HIGH,operator,service-affecting:enable,Enable or disable the ALS function.
1.3.6.1.4.1.3902.1082.30.40.2.5.1.3,zxAnOptAlsLaserShutdownDuration,entity.zte.gpon.device.olt,read-write,HIGH,operator,service-affecting:shutdown,This attribute specifies the value of the laser shutdown duration.
1.3.6.1.4.1.3902.1082.30.40.2.2.1.8,zxAnOpticalVoltageLowerThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The lower limit threshold on optical modules supply voltage.
1.3.6.1.4.1.3902.1082.30.40.2.2.1.9,zxAnOpticalVoltageUpperThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The upper limit threshold on optical modules supply voltage.
1.3.6.1.4.1.3902.1082.30.20.2.2.5.1.2,zxAnOutOfBandIfAdminStatus,entity.zte.gpon.device.olt,read-write,HIGH,operator,service-affecting:adminstatus,The desired state of the interface.
1.3.6.1.4.1.3902.1082.500.4.2.1.9.1.1,zxAnPonOltPerfAlmPrf,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The performance alarm threshold profile.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.9,zxAnPonOltPerfFallAlmClrThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling alarm restore.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.8,zxAnPonOltPerfFallAlmThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling alarm.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.7,zxAnPonOltPerfFallWarnClrThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling warning restore.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.6,zxAnPonOltPerfFallWarnThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling warning.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.3,zxAnPonOltPerfRiseAlmClrThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for rising alarm restore.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.2,zxAnPonOltPerfRiseAlmThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for rising alarm.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.5,zxAnPonOltPerfRiseWarnClrThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for rising warning restore.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.4,zxAnPonOltPerfRiseWarnThresh,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold for rising warning.
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.10,zxAnPonOltPerfThreshUsed,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),The threshold used flag for falling alarm restore.
1.3.6.1.4.1.3902.1082.10.1.2.2.1.3,zxAnRackConfType,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),This MIB is defined for configged rack type.
1.3.6.1.4.1.3902.1082.10.1.2.2.1.4,zxAnRackInvSn,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),This MIB is defined for serial number of this rack.
1.3.6.1.4.1.3902.3.302.24.1,zxr10AlmConfirmEnable,entity.zte.gpon.device.olt,read-write,HIGH,operator,service-affecting:enable,Enable or disable the alarm confirm.
1.3.6.1.4.1.3902.3.302.22.1.3,zxr10AlmProfLevelChange,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),"Alarm level support 'emergency','alert','critical','error', 'warning','notification','information','debugging'.Alarm level not support 'all'."
1.3.6.1.4.1.3902.3.302.22.1.2,zxr10AlmShdProfCodeStatus,entity.zte.gpon.device.olt,read-create,HIGH,engineer,provisioning(read-create),Alarm shield profile status.
1.3.6.1.4.1.3902.1082.500.21.2.1.3.1.4,zxAnGponOPGemPortQueueOfTcont,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The queue (index from 0 to 7) of T-CONT for this GEM port.
1.3.6.1.4.1.3902.1082.500.21.2.1.3.1.3,zxAnGponOPGemPortTcontIndex,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),It is equal to the 'zxAnGponOPTcontIndex' of 'zxAnGponOPTcontTable'.
1.3.6.1.4.1.3902.1082.500.21.2.1.5.1.2,zxAnGponOPOnuConfUsFecEnable,entity.zte.gpon.device.onu,read-write,HIGH,operator,service-affecting:enable,Enables or disables the ONU upstream FEC function.
1.3.6.1.4.1.3902.1082.500.21.2.1.2.1.4,zxAnGponOPTcontBwPrfName,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The name of profile used by T-CONT bandwidth configuration.
1.3.6.1.4.1.3902.1082.500.21.2.1.2.1.5,zxAnGponOPTcontDbaGapMode,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The DBA gap mode.
1.3.6.1.4.1.3902.1082.500.21.2.1.2.1.3,zxAnGponOPTcontName,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Name of the T-CONT.
1.3.6.1.4.1.3902.1082.500.21.2.2.13.1.7,zxAnGponOPVoipIpOnuIdentifier,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),This attribute indicates the ONU identifier string.
1.3.6.1.4.1.3902.1082.500.21.2.2.11.1.5,zxAnGponOPWanOnuIdentifier,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),A unique ONU identifier string.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.2,zxAnPonOnuIfAttr1,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.11,zxAnPonOnuIfAttr10,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.3,zxAnPonOnuIfAttr2,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.4,zxAnPonOnuIfAttr3,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.5,zxAnPonOnuIfAttr4,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.6,zxAnPonOnuIfAttr5,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.7,zxAnPonOnuIfAttr6,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.8,zxAnPonOnuIfAttr7,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.9,zxAnPonOnuIfAttr8,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.1.2.2.3.1.10,zxAnPonOnuIfAttr9,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),Reserved for future use.
1.3.6.1.4.1.3902.1082.500.4.2.2.9.1.1,zxAnPonOnuPerfAlmPrf,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The performance alarm threshold profile.
1.3.6.1.4.1.3902.1082.500.4.2.2.8.1.9,zxAnPonOnuPerfFallAlmClrThresh,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling alarm restore.
1.3.6.1.4.1.3902.1082.500.4.2.2.8.1.8,zxAnPonOnuPerfFallAlmThresh,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling alarm.
1.3.6.1.4.1.3902.1082.500.4.2.2.8.1.7,zxAnPonOnuPerfFallWarnClrThresh,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling warning restore.
1.3.6.1.4.1.3902.1082.500.4.2.2.8.1.6,zxAnPonOnuPerfFallWarnThresh,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The threshold for falling warning.
1.3.6.1.4.1.3902.1082.500.4.2.2.8.1.3,zxAnPonOnuPerfRiseAlmClrThresh,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The threshold for rising alarm restore.
1.3.6.1.4.1.3902.1082.500.4.2.2.8.1.2,zxAnPonOnuPerfRiseAlmThresh,entity.zte.gpon.device.onu,read-create,HIGH,engineer,provisioning(read-create),The threshold for rising alarm.
